,ID,Name,Age,Nationality,Rating,Club,Value,Wage,International_Reputation,Skill_Moves,Body_Type,Attack_Work Rate,Defence Work Rate,Region,Population,GDP,Pop_Density,Area,Weight,Height,Leg Work
0,225844,D. Verde,22,Italy,72,Real Valladolid CF,242,16,1,Good,Normal,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,83,165,Left
1,178508,A. Cocco,32,Italy,66,Pescara,801,26,1,Bad,Normal,Medium,Low,WESTERN EUROPE,58133509,26700,"193,0",301230,76,179,Left
2,171490,S. Aresti,32,Italy,67,Cagliari,180,5,1,Worst,Normal,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,79,165,Left
3,234989,A. Benedetti,26,Italy,68,Cittadella,796,2,1,Bad,Normal,High,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,68,172,Left
4,244718,M. Vano,26,Italy,59,Carpi,568,22,1,Bad,Normal,High,Low,WESTERN EUROPE,58133509,26700,"193,0",301230,74,163,Right
5,189734,M. Pascali,36,Italy,65,Cosenza,970,13,1,Bad,Normal,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,65,164,Right
6,244717,A. Gallo,18,Italy,61,Palermo,826,17,1,Bad,Lean,High,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,71,165,Right
7,168403,R. Schiavi,32,Italy,69,US Salernitana 1919,716,5,1,Bad,Normal,Low,High,WESTERN EUROPE,58133509,26700,"193,0",301230,81,184,Left
8,225800,A. Parisi,23,Italy,60,Livorno,798,8,1,Bad,Normal,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,81,183,Left
9,159265,C. Puggioni,37,Italy,72,Benevento,359,12,1,Worst,Normal,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,70,161,Left
10,137460,A. Rosina,34,Italy,73,US Salernitana 1919,633,6,2,Good,Normal,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,95,168,Right
11,46736,E. Moretti,37,Italy,75,Torino,173,15,2,Bad,Lean,Low,High,WESTERN EUROPE,58133509,26700,"193,0",301230,88,192,Right
12,149572,P. Sammarco,35,Italy,68,Frosinone,243,0,1,Average,Lean,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,75,168,Left
13,235476,I. Varone,25,Italy,62,Cosenza,148,24,1,Bad,Normal,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,74,199,Right
14,201442,M. Guidone,32,Italy,67,Padova,623,6,1,Bad,Normal,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,85,189,Left
15,222355,L. Valzania,22,Italy,69,Atalanta,706,7,1,Average,Normal,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,83,179,Right
16,171721,R. Perticone,31,Italy,67,US Salernitana 1919,837,19,1,Bad,Normal,Medium,High,WESTERN EUROPE,58133509,26700,"193,0",301230,67,184,Right
17,209668,A. Arrigoni,29,Italy,63,Lecce,246,25,1,Bad,Normal,Medium,High,WESTERN EUROPE,58133509,26700,"193,0",301230,79,176,Left
18,190201,M. Minesso,28,Italy,64,Padova,585,17,1,Average,Normal,High,Low,WESTERN EUROPE,58133509,26700,"193,0",301230,89,158,Left
19,163407,A. Raggi,34,Italy,75,AS Monaco,705,16,2,Bad,Normal,Medium,Medium,WESTERN EUROPE,58133509,26700,"193,0",301230,87,201,Left
20,235805,F. Chiesa,20,Italy,78,Fiorentina,649,15,2,Good,Lean,High,High,WESTERN EUROPE,58133509,26700,"193,0",301230,72,200,Left
